name,tier,url
Detroit Zoo,Planet Champion,https://detroitzoo.org/
Walker Miller Energy Services,Planet Champion,https://wmenergy.com/
Michigan Sustainable Business Forum,Planet Champion,https://misbf.org/
Barton Malow,Planet Champion,https://www.bartonmalow.com/
Alliance for the Great Lakes,Impact Partner,https://greatlakes.org/
Detroiters Working for Environmental Justice,Impact Partner,https://detroitenvironmentaljustice.org/
The Work Department,Impact Partner,https://www.theworkdept.com/
Great Lakes Environmental Law Center,Impact Partner,https://glelc.org/
Huron River Watershed Council,Impact Partner,https://www.hrwc.org/
Michigan Environmental Justice Coalition,Impact Partner,https://www.michiganej.org/
Path Consulting,Impact Partner,https://www.pathconsulting.org/
Steelcase,Impact Partner,https://www.steelcase.com/
Trent Creative,Impact Partner,https://trentcreative.com/
5 Lakes Energy,Impact Partner,https://5lakesenergy.com/
Anese & Associates,Impact Partner,https://www.aneseandassociates.com/
We Want Green Too,Impact Partner,https://www.wewantgreentoo.org/
Clinton River Watershed Council,Impact Partner,https://www.crwc.org/
Detroit 2030 District,Impact Partner,https://2030districts.org/detroit/
Friends of the Rouge,Impact Partner,https://therouge.org/
Early Works,Impact Partner,https://www.early.works/
Elevate,Impact Partner,https://www.elevatenp.org/
JustAir,Impact Partner,https://www.justair.co/
Michiganders for a Just Farming System,Impact Partner,https://justfarmingsystem.com/
Greening of Detroit,Impact Partner,https://www.greeningofdetroit.com/
Make Food Not Waste,Impact Partner,https://makefoodnotwaste.org/
Michigan Climate Action Network,Impact Partner,https://www.miclimateaction.org/
Michigan Clinicians for Climate Action,Impact Partner,https://www.michigancca.com/
MI Environmental Justice Coalition,Impact Partner,https://www.michiganej.org/
Six Rivers Land Conservancy,Impact Partner,https://sixriversrlc.org/
Society of Environmental Journalists,Impact Partner,https://www.sej.org/
Michigan Environmental Council,Impact Partner,https://environmentalcouncil.org/
Sticky Lab,Impact Partner,https://www.stickylab.com/
Walking Lightly,Impact Partner,https://www.walkinglightly.net/
We Reuse,Impact Partner,https://wewillreuse.com/
Michigan Green Muslims,Impact Partner,https://michigangreenmuslims.org/
Midwest Building Decarbonization Coalition,Impact Partner,https://midwestdecarb.org/
Detroit Outdoors,Impact Partner,https://www.detroitoutdoors.org/
Green Garage,Impact Partner,https://greengaragedetroit.com/
Friends of the Detroit River,Impact Partner,https://www.detroitriver.org/
Corvias Infrastructure Solutions,Impact Partner,https://www.cisolutions.com/
University of Michigan Water Center,Impact Partner,https://graham.umich.edu/water
e3 refillery,Impact Partner,https://e3-refillery.com/
